country,code
阿富汗,AF
阿爾巴尼亞,AL
阿爾及利亞,DZ
美屬薩摩亞,AS
安道爾,AD
安哥拉,AO
英屬安圭拉,AI
南極洲,AQ
安地卡及巴布達,AG
阿根廷,AR
亞美尼亞,AM
阿魯巴,AW
澳大利亞,AU,17.779,0,0,0
奧地利,AT,0,5.873,0,20.16,20.63,1.8
亞塞拜然,AZ,0
巴哈馬,BS
巴林,BH
孟加拉,BD
巴貝多,BB
白俄羅斯,BY
比利時,BE
貝里斯,BZ
貝南,BJ
百慕達,BM
不丹,BT
玻利維亞,BO
波士尼亞,BA
波札那,BW
波維特島,BV
巴西,BR
英屬印度洋地區,IO
汶萊,BN
保加利亞,BG
布吉納法索,BF
緬甸,MM
浦隆地,BI
柬埔寨王國,KH
喀麥隆,CM
加拿大,CA,19.645,40
維德角島,CV
開曼群島,KY
中非,CF
查德,TD
智利,CL,0.98,7.118,0,0,0,152.74
中國大陸,CN,360.19,184.63,538.73,137.3,473.72,339.585
聖誕島,CX
可可斯群島,CC
哥倫比亞,CO
葛摩,KM
剛果共和國,CG
剛果民主共和國,CD
科克群島,CK
哥斯大黎加,CR
象牙海岸,CI
克羅埃西亞,HR
古巴,CU
賽普勒斯,CY,4.788,2.52,99.57,99.5,41.79,57.69
捷克,CZ
丹麥,DK
吉布地,DJ
多米尼克,DM
多明尼加,DO
帝汶,TP
厄瓜多,EC
埃及,EG
薩爾瓦多,SV
赤道幾內亞,GQ
厄利垂亞,ER
愛沙尼亞,EE
依索比亞,ET
福克蘭群島,FK
法羅群島,FO
斐濟群島,FJ
芬蘭,FI
法國,FR,277.395,146.27,486.21,107.52,237.959,21.624
法國本土,FX
法屬圭亞那,GF
法屬玻里尼西亞,PF
法屬南部屬地,TF
加彭,GA
甘比亞,GM
喬治亞,GE
德國,DE,5.523,0,3,0,0,6
迦納,GH
直布羅陀,GI
希臘,GR
格陵蘭,GL
格瑞那達,GD
瓜德魯普島,GP
關島,GU
瓜地馬拉,GT
幾內亞,GN
幾內亞比索,GW
蓋亞那,GY
海地,HT
赫德及麥當勞群島,HM
教廷,VA
宏都拉斯,HN
香港,HK
匈牙利,HU
冰島,IS
印度,IN
印尼,ID,0.48,0.06,0
伊朗,IR
伊拉克,IQ
愛爾蘭,IE
以色列,IL,0
義大利,IT,0.024,17.28,0
牙買加,JM
日本,JP,3436.663,7226.937001,7948.214001,1749.529,2009.708,917.3220001
約旦,JO
哈薩克,KZ
肯亞,KE
吉里巴斯,KI
北韓,KP
韓國,KR,998.7230001,547.512,288.444,103.763,325.56,179
科威特,KW
吉爾吉斯,KG
寮國,LA
拉脫維亞,LV
黎巴嫩,LB
賴索托,LS
賴比瑞亞,LR
利比亞,LY
列支敦斯登,LI
立陶宛,LT
盧森堡,LU
澳門,MO
馬其頓,MK
馬達加斯加,MG
馬拉威,MW
馬來西亞,MY
馬爾地夫,MV
馬利,ML
馬爾他,MT
馬紹爾群島,MH
法屬馬丁尼克,MQ
茅利塔尼亞,MR
模里西斯,MU
美亞特,YT
墨西哥,MX
密克羅尼西亞,FM
摩爾多瓦,MD
摩納哥,MC
蒙古,MN
蒙瑟拉特島,MS
摩洛哥,MA
莫三比克,MZ
緬甸,MM
納米比亞,NA
諾魯,NR
尼泊爾,NP
荷蘭,NL,0,0,1.76,0,0.8,0.96
荷屬安地列斯,AN
納維斯,XB
新喀里多尼亞島,NC
紐西蘭,NZ,0.014,51.807,35.709,17.136,3374.528,7299.188001
尼加拉瓜,NI
尼日,NE
奈及利亞,NG
紐威島,NU
諾福克群島,NF
北馬里亞納群島,MP
挪威,NO
阿曼,OM
巴基斯坦,PK
帛琉群島,PW
巴拿馬,PA
巴布亞紐幾內亞,PG
巴拉圭,PY
秘魯,PE
菲律賓,PH
皮特康島,PN
波蘭,PL,0,0,0
葡萄牙,PT
波多黎各,PR
卡達,QA
留尼旺,RE
羅馬尼亞,RO
俄羅斯,RU
盧安達,RW
琉球,XA
聖赫勒拿島,SH
聖克里斯多福,KN
聖露西亞,LC
聖匹及密啟倫群島,PM
聖文森,VC
薩摩亞群島,WS
聖馬利諾,SM
聖多美及普林西比,ST
沙烏地阿拉伯,SA
塞內加爾,SN
塞席爾,SC
獅子山,SL
新加坡,SG,0
斯洛伐克,SK
斯洛凡尼亞,SI
索羅門群島,SB
索馬利亞,SO
南非,ZA,1424.073,264.884,545.2070001,129.124,58.79200001,468.062
南喬治亞及南桑威奇群島,GS
西班牙,ES,21.6,0,23.616,0,20.736,40
斯里蘭卡,LK
蘇丹,SD
蘇利南,SR
斯瓦巴及尖棉島,SJ
史瓦濟蘭,SZ
瑞典,SE,0,5.118,0
瑞士,CH
敘利亞,SY
大溪地,XC
臺灣，中華民國,TW
塔吉克,TJ
坦尚尼亞,TZ
泰國,TH,0,0,0
多哥,TG
托克勞群島,TK
東加,TO
千里達,TT
突尼西亞,TN
土耳其,TR,6.6,0.3,0
土庫曼,TM
土克斯及開科斯群島,TC
吐瓦魯,TV
烏干達,UG
烏克蘭,UA
阿拉伯聯合大公國,AE,0,0,0,0.996,0
英國,GB,3.672
美國,US,12940.876,10088.31,8994.405001,3030.979,3680.507,3740.219
美屬邊疆群島,UM
烏拉圭,UY
烏茲別克,UZ
萬那杜,VU
委內瑞拉,VE
越南,VN
英屬維爾京群島,VG
美屬維爾京群島,VI
沃里斯與伏塔那島,WF
西撒哈拉,EH
葉門,YE
南斯拉夫,YU
尚比亞,ZM
辛巴威,ZW
