country,code,10411,10412,10501,10502,10503,10504,10505,10506,10507,10508,10509,10510
阿富汗,AF,0,0,0,0,0,0,0,0,0,0,0,0
阿爾巴尼亞,AL,0,0,0,0,0,0,0,0,0,0,0,0
阿爾及利亞,DZ,0,0,0,0,0,0,0,0,0,0,0,0
美屬薩摩亞,AS,0,0,0,0,0,0,0,0,0,0,0,0
安道爾,AD,0,0,0,0,0,0,0,0,0,0,0,0
安哥拉,AO,0,0,0,0,0,0,0,0,0,0,0,0
英屬安圭拉,AI,0,0,0,0,0,0,0,0,0,0,0,0
南極洲,AQ,0,0,0,0,0,0,0,0,0,0,0,0
安地卡及巴布達,AG,0,0,0,0,0,0,0,0,0,0,0,0
阿根廷,AR,0,0,0,0,0,0,0,0,0,0,0,0
亞美尼亞,AM,0,0,0,0,0,0,0,0,0,0,0,0
阿魯巴,AW,0,0,0,0,0,0,0,0,0,0,0,0
澳大利亞,AU,10.249,0.119,5.413,3.856,4.416,2.082,0.72,1.168,3.554,2,0,2.191
奧地利,AT,0.72,1.4,1.212,2.12,0.726,0,0.189,0,1.4,0,0,1.598
亞塞拜然,AZ,0,0,0,0,0,0,0,0,0,0,0,0
巴哈馬,BS,0,0,0,0,0,0,0,0,0,0,0,0
巴林,BH,0,0,0,0,0,0,0,0,0,0,0,0
孟加拉,BD,0,0,0,0,0,0,0,0,0,0,0,0
巴貝多,BB,0,0,0,0,0,0,0,0,0,0,0,0
白俄羅斯,BY,0,0,0,0,0,0,0,0,0,0,0,0
比利時,BE,1.182,0,0.152,0,0.465,0.251,0,1.078,0,0,0,0
貝里斯,BZ,0,0,0,0,0,0,0,0,0,0,0,0
貝南,BJ,0,0,0,0,0,0,0,0,0,0,0,0
百慕達,BM,0,0,0,0,0,0,0,0,0,0,0,0
不丹,BT,0,0,0,0,0,0,0,0,0,0,0,0
玻利維亞,BO,0,0,0,0,7.05,0.008,0,0.359,0.12,1,0.06,0
波士尼亞,BA,0,0,0,0,0,0,0,0,0,0,0,0
波札那,BW,0,0,0,0,0,0,0,0,0,0,0,0
波維特島,BV,0,0,0,0,0,0,0,0,0,0,0,0
巴西,BR,524.001,463.748,1018.041,208.193,554.9,426.959,710.2160001,742.0430001,317.655,640,180.646,549.225
英屬印度洋地區,IO,0,0,0,0,0,0,0,0,0,0,0,0
汶萊,BN,0,0,0,0,0,0,0,0,0,0,0,0
保加利亞,BG,0,0,0,0,0,0,0,0,0,0,0,0
布吉納法索,BF,0,0,0,0,0,0,0,0,0,0,0,0
緬甸,MM,0,0.276,0.038,0,6.75,0.942,0,15.9,19.24,2,0,3
浦隆地,BI,0,0,0,0,0,0,0,0,0,0,0,0
柬埔寨王國,KH,0,0,0.014,0,0,0,0,0,0,0,0,0
喀麥隆,CM,0,0,0,0,0,0,0.24,0,0,0,0,0
加拿大,CA,0,0,0.792,0,2.588,0.091,0,0.054,0.599,1,1.437,0
維德角島,CV,0,0,0,0,0,0,0,0,0,0,0,0
開曼群島,KY,0,0,0,0,0,0,0,0,0,0,0,0
中非,CF,0,0,0,0,0,0,0,0,0,0,0,0
查德,TD,0,0,0,0,0,0,0,0,0,0,0,0
智利,CL,0,0,0,0,0,0,0,0,0,0,0,0
中國大陸,CN,61.732,52.722,50.428,43.161,68.968,13.063,43.487,46.304,40.91,64,102.543,46.091
聖誕島,CX,0,0,0,0,0,0,0,0,0,0,0,0
可可斯群島,CC,0,0,0,0,0,0,0,0,0,0,0,0
哥倫比亞,CO,235.29,190.729,289.81,361.014,248.68,241.091,407.385,87.46000001,106.942,207,379.184,26.668
